Timestamp;PV usage [0:1];buy_el[ecent/kWh];sell_el[ecent/kWh];Lastgang_[W]
02.01.2013 23:45;0;28;10;9900
03.01.2013 00:00;0;28;10;8000
03.01.2013 00:15;0;28;10;5300
03.01.2013 00:30;0;28;10;5300
03.01.2013 00:45;0;28;10;6400
03.01.2013 01:00;0;28;10;9600
03.01.2013 01:15;0;28;10;8500
03.01.2013 01:30;0;28;10;5300
03.01.2013 01:45;0;28;10;5500
03.01.2013 02:00;0;28;10;6500
03.01.2013 02:15;0;28;10;9600
03.01.2013 02:30;0;28;10;8200
03.01.2013 02:45;0;28;10;5600
03.01.2013 03:00;0;28;10;5400
03.01.2013 03:15;0;28;10;7100
03.01.2013 03:30;0;28;10;9800
03.01.2013 03:45;0;28;10;8200
03.01.2013 04:00;0;28;10;5500
03.01.2013 04:15;0;28;10;5400
03.01.2013 04:30;0;28;10;8100
03.01.2013 04:45;0;28;10;10300
03.01.2013 05:00;0;28;10;8000
03.01.2013 05:15;0;28;10;5900
03.01.2013 05:30;0;28;10;5900
03.01.2013 05:45;0;28;10;9800
03.01.2013 06:00;0;28;10;10300
03.01.2013 06:15;0;28;10;6800
03.01.2013 06:30;0;28;10;6100
03.01.2013 06:45;0;28;10;5900
03.01.2013 07:00;0;28;10;10100
03.01.2013 07:15;0;28;10;9300
03.01.2013 07:30;0.011740474;28;10;5300
03.01.2013 07:45;0.011946447;28;10;5500
03.01.2013 08:00;0.022657055;28;10;6100
03.01.2013 08:15;0.033573635;28;10;9400
03.01.2013 08:30;0.057260556;28;10;8100
03.01.2013 08:45;0.077033986;28;10;5100
03.01.2013 09:00;0.155303811;28;10;5200
03.01.2013 09:15;0.126055613;28;10;7000
03.01.2013 09:30;0.109989701;28;10;8600
03.01.2013 09:45;0.098867147;28;10;7300
03.01.2013 10:00;0.117816684;28;10;4300
03.01.2013 10:15;0.133676622;28;10;4500
03.01.2013 10:30;0.123171988;28;10;4600
03.01.2013 10:45;0.109989701;28;10;8800
03.01.2013 11:00;0.128939238;28;10;8600
03.01.2013 11:15;0.119052523;28;10;5100
03.01.2013 11:30;0.079505664;28;10;4400
03.01.2013 11:45;0.100514933;28;10;4200
03.01.2013 12:00;0.083625129;28;10;6800
03.01.2013 12:15;0.034603502;28;10;8600
03.01.2013 12:30;0.032749743;28;10;6300
03.01.2013 12:45;0.027600412;28;10;5800
03.01.2013 13:00;0.024098867;28;10;5100
03.01.2013 13:15;0.027394439;28;10;4200
